Date,Open,High,Low,Close,Volume
2025-08-07,70,73.800003,60.029999,60.349998,30556600
2025-08-08,54.845001,57.07,49.110001,50.169998,8576200
2025-08-11,49.509998,54.950001,49.5,53.619999,3410100
2025-08-12,53.776001,55,51.34,51.465,1799000
2025-08-13,51.119999,53.599998,50.599998,50.75,3419300
2025-08-14,50.209999,51.25,46.312,49.330002,1878500
2025-08-15,49.279999,49.279999,46.389999,47.34,1010600
2025-08-18,47,48.73,46.330002,48.619999,610200
2025-08-19,48.550999,49.189999,45.009998,45.48,981700
2025-08-20,45.43,47,45,45.27,1433500
2025-08-21,45.369999,46.599998,44,46.27,727200
2025-08-22,46.049999,46.91,45,46.110001,1016600
2025-08-25,46.09,46.43,44.599998,44.724998,485600
2025-08-26,44.689999,45.255001,44.450001,45.049999,294400
2025-08-27,46.400002,47.799999,46.130001,47.029999,652100
2025-08-28,47.671001,48.950001,46.944,47.150002,570700
2025-08-29,46.540001,46.889999,45.154999,45.369999,376400
2025-09-02,45,46.09,43.605999,44.23,508300
2025-09-03,44.23,45.400002,42.507,44.380001,902300
2025-09-04,44.400002,44.990002,42.275002,42.82,771000
2025-09-05,42.959999,43.277,41.57,42.630001,390400
2025-09-08,42.549999,43.240002,41.75,42.779999,1035600
2025-09-09,42.700001,44.75,42.259998,44.540001,519600
2025-09-10,43.98,44.241001,42.529999,42.77,722600
2025-09-11,42.610001,43.330002,42.119999,42.970001,445700
2025-09-12,43.009998,43.759998,42.349998,43.75,369500
2025-09-15,44.259998,45,43.5,43.860001,328200
2025-09-16,44,45.450001,43.580002,43.849998,610900
2025-09-17,43.73,44.59,43.16,43.360001,503400
2025-09-18,43.93,45.599998,43.799999,45.220001,597100
2025-09-19,45.639999,46.209999,44.5,45.200001,2087500
2025-09-22,46.310001,49.59,45.66,49.52,2174100
2025-09-23,43.560001,44.889999,41.368,41.939999,3555500
2025-09-24,42.259998,42.631001,40.27,40.560001,1541100
2025-09-25,39.900002,40,36.689999,37.66,2357300
2025-09-26,37.599998,37.658001,35.009998,35.98,1652800
2025-09-29,36,36.990002,34.529999,36.959999,1664900
2025-09-30,31.754999,32,27.549999,29.32,7673000
2025-10-01,29.535,29.535,26.334999,26.67,5106500
2025-10-02,26.975,28.24,26.049999,26.799999,3377200
2025-10-03,27.120001,28,26.545,27.370001,2784100
2025-10-06,30.875,30.959999,28.610001,29.09,4947800
