,DateTime,Open,High,Low,Close,Volume
0,2005-06-15,11.75,12.05,11.75,12.0,146900
1,2005-06-16,12.01,12.12,12.0,12.12,395800
2,2005-06-17,12.11,14.01,12.03,13.08,593700
3,2005-06-20,12.87,13.5,12.75,13.44,72000
4,2005-06-21,13.5,13.64,12.57,13.01,129600
5,2005-06-22,13.44,13.44,12.77,12.9,119200
6,2005-06-23,12.9,12.96,12.5,12.6,48200
7,2005-06-24,12.5,12.68,12.2,12.2,48100
8,2005-06-27,12.17,12.24,11.75,12.24,241400
9,2005-06-28,12.3,12.4,12.17,12.29,49700
10,2005-06-29,12.35,12.5,12.1,12.23,99900
11,2005-06-30,12.79,12.79,11.75,11.9,251600
12,2005-07-01,11.9,12.2,11.9,12.0,107100
13,2005-07-05,11.66,12.1,11.62,11.71,28100
14,2005-07-06,11.72,11.98,11.72,11.72,23900
15,2005-07-07,11.76,11.9,11.15,11.9,73300
16,2005-07-08,11.5,11.95,11.23,11.95,127400
17,2005-07-11,11.83,12.2,11.55,12.2,84400
18,2005-07-12,12.1,12.4,11.91,12.35,165100
19,2005-07-13,12.35,12.44,12.0,12.0,35900
20,2005-07-14,12.2,12.35,12.0,12.06,41300
21,2005-07-15,12.0,12.02,11.62,11.85,189800
22,2005-07-18,11.9,12.35,11.6,11.9,87700
23,2005-07-19,11.9,12.1,11.9,12.1,11800
24,2005-07-20,12.3,12.35,12.1,12.2,30900
25,2005-07-21,12.4,12.4,11.74,11.91,111900
26,2005-07-22,12.15,12.2,11.75,12.1,60800
27,2005-07-25,12.35,13.55,11.95,13.03,112300
28,2005-07-26,13.29,13.95,12.3,12.72,247200
29,2005-07-27,12.56,12.9,12.25,12.46,36000
30,2005-07-28,12.56,12.61,12.3,12.49,40400
31,2005-07-29,12.3,13.0,12.19,12.99,41700
32,2005-08-01,12.97,12.97,12.5,12.9,30800
33,2005-08-02,12.75,13.8,12.71,13.6,68400
34,2005-08-03,13.5,13.84,13.15,13.6,57500
35,2005-08-04,13.75,13.98,13.46,13.74,48500
36,2005-08-05,13.8,14.5,13.3,13.85,171400
37,2005-08-08,14.1,14.1,12.75,13.02,18000
38,2005-08-09,13.79,14.18,12.7,13.75,269600
39,2005-08-10,14.0,14.0,12.68,13.74,19600
40,2005-08-11,13.97,13.97,13.5,13.76,94800
41,2005-08-12,13.7,13.9,13.0,13.5,112600
42,2005-08-15,13.5,13.59,13.3,13.45,72800
43,2005-08-16,13.3,13.4,13.25,13.4,26500
44,2005-08-17,13.4,13.4,12.76,13.26,202900
45,2005-08-18,13.31,13.34,13.0,13.25,32700
46,2005-08-19,13.25,13.25,13.0,13.05,5900
47,2005-08-22,13.14,13.25,13.05,13.15,13400
48,2005-08-23,13.05,13.15,12.84,12.99,35700
49,2005-08-24,12.92,13.0,12.75,12.75,11500
50,2005-08-25,12.95,13.0,12.6,12.82,33100
51,2005-08-26,12.86,13.0,12.72,13.0,15200
52,2005-08-29,13.0,13.0,12.81,12.91,14400
53,2005-08-30,12.9,13.0,12.73,12.8,53400
54,2005-08-31,12.95,12.95,12.7,12.8,54900
55,2005-09-01,12.94,13.09,12.6,12.95,36500
56,2005-09-02,13.0,13.15,12.95,12.96,66600
57,2005-09-06,12.95,13.15,12.95,12.96,6900
58,2005-09-07,13.05,13.05,12.6,12.68,66100
59,2005-09-08,12.77,13.0,12.67,13.0,26700
60,2005-09-09,13.0,13.0,12.81,12.81,12300
61,2005-09-12,13.0,13.0,12.8,12.81,40400
62,2005-09-13,13.0,13.08,12.85,13.03,32700
